,accuracy,kappa,precision,specificity
0,0.8256042009363533,0.8670032976042497,0.8256042009363533,0.9564010502340883
1,0.8274705807921042,0.8680898414532795,0.8274705807921042,0.956867645198026
2,0.8261419714032646,0.8675706768706981,0.8261419714032646,0.9565354928508162
3,0.825540933822599,0.8676847000732871,0.825540933822599,0.9563852334556497
4,0.8254460331519676,0.8670321584626696,0.8254460331519676,0.9563615082879919
5,0.8256358344932304,0.8668202944794172,0.8256358344932304,0.9564089586233077
6,0.8265215740857902,0.867475804120852,0.8265215740857902,0.9566303935214475
7,0.8268695432114387,0.8674049291998812,0.8268695432114387,0.9567173858028597
8,0.82718587878021,0.8676201538985759,0.82718587878021,0.9567964696950525
9,0.8273124130077186,0.8675876533762124,0.8273124130077186,0.9568281032519297
